id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
news/2025/jan/23/innit-innit-boys-and-super-eagles-how-nigerian-londoners-found-their-identity-through-football,article,news,News,2025-01-23T05:00:35Z,Innit innit boys and Super Eagles: how Nigerian Londoners found their identity through football,https://www.theguardian.com/news/2025/jan/23/innit-innit-boys-and-super-eagles-how-nigerian-londoners-found-their-identity-through-football,https://content.guardianapis.com/news/2025/jan/23/innit-innit-boys-and-super-eagles-how-nigerian-londoners-found-their-identity-through-football,False,pillar/news,News
global-development/2025/jan/10/anti-gay-law-nigerian-novelist-book-chukwuebuka-ibeh-blessings-chimamanda-ngozi-adichie,article,global-development,Global development,2025-01-10T10:00:31Z,‘To confront the anti-gay law is to trouble waters’: the young Nigerian novelist refusing to go by the book,https://www.theguardian.com/global-development/2025/jan/10/anti-gay-law-nigerian-novelist-book-chukwuebuka-ibeh-blessings-chimamanda-ngozi-adichie,https://content.guardianapis.com/global-development/2025/jan/10/anti-gay-law-nigerian-novelist-book-chukwuebuka-ibeh-blessings-chimamanda-ngozi-adichie,False,pillar/news,News
global-development/2025/jan/03/getting-creative-youtube-tiktok-content-makers-in-africa-search-for-ways-to-make-it-pay,article,global-development,Global development,2025-01-03T09:00:50Z,Getting creative: African YouTubers and TikTokers search for ways to make it pay,https://www.theguardian.com/global-development/2025/jan/03/getting-creative-youtube-tiktok-content-makers-in-africa-search-for-ways-to-make-it-pay,https://content.guardianapis.com/global-development/2025/jan/03/getting-creative-youtube-tiktok-content-makers-in-africa-search-for-ways-to-make-it-pay,False,pillar/news,News
world/2025/mar/08/around-world-60-hours-nigerian-aims-travel-record-low-mobility-passport,article,world,World news,2025-03-08T07:00:15Z,Around the world in 60 hours: Nigerian aims to set travel record with ‘low-mobility’ passport,https://www.theguardian.com/world/2025/mar/08/around-world-60-hours-nigerian-aims-travel-record-low-mobility-passport,https://content.guardianapis.com/world/2025/mar/08/around-world-60-hours-nigerian-aims-travel-record-low-mobility-passport,False,pillar/news,News
books/2025/mar/19/where-to-start-with-chimamanda-ngozi-adichie,article,books,Books,2025-03-19T12:00:56Z,Where to start with: Chimamanda Ngozi Adichie,https://www.theguardian.com/books/2025/mar/19/where-to-start-with-chimamanda-ngozi-adichie,https://content.guardianapis.com/books/2025/mar/19/where-to-start-with-chimamanda-ngozi-adichie,False,pillar/arts,Arts
global-development/2025/jan/16/africa-celebrated-writers-hard-african-readers-books-tsitsi-dangarembga-chimamanda-ngozi-adichie-mubanga-kalimamukwento,article,global-development,Global development,2025-01-16T10:00:07Z,Africa has no shortage of celebrated writers – so why is it so hard for African readers to get hold of their books?,https://www.theguardian.com/global-development/2025/jan/16/africa-celebrated-writers-hard-african-readers-books-tsitsi-dangarembga-chimamanda-ngozi-adichie-mubanga-kalimamukwento,https://content.guardianapis.com/global-development/2025/jan/16/africa-celebrated-writers-hard-african-readers-books-tsitsi-dangarembga-chimamanda-ngozi-adichie-mubanga-kalimamukwento,False,pillar/news,News
politics/2025/feb/28/keir-starmer-carry-out-largest-cut-uk-overseas-aid-in-history,article,politics,Politics,2025-02-28T08:00:53Z,Keir Starmer to carry out largest cut to UK overseas aid in history,https://www.theguardian.com/politics/2025/feb/28/keir-starmer-carry-out-largest-cut-uk-overseas-aid-in-history,https://content.guardianapis.com/politics/2025/feb/28/keir-starmer-carry-out-largest-cut-uk-overseas-aid-in-history,False,pillar/news,News
society/2025/mar/21/post-brexit-reliance-on-nhs-staff-from-red-list-countries-is-unethical-streeting-says,article,society,Society,2025-03-21T05:00:49Z,"Post-Brexit reliance on NHS staff from ‘red list’ countries is unethical, Streeting says",https://www.theguardian.com/society/2025/mar/21/post-brexit-reliance-on-nhs-staff-from-red-list-countries-is-unethical-streeting-says,https://content.guardianapis.com/society/2025/mar/21/post-brexit-reliance-on-nhs-staff-from-red-list-countries-is-unethical-streeting-says,False,pillar/news,News
world/2025/mar/07/nigerian-king-faces-shell-london-high-court-decades-oil-spills,article,world,World news,2025-03-07T15:00:06Z,Nigerian king faces Shell in London high court over decades of oil spills,https://www.theguardian.com/world/2025/mar/07/nigerian-king-faces-shell-london-high-court-decades-oil-spills,https://content.guardianapis.com/world/2025/mar/07/nigerian-king-faces-shell-london-high-court-decades-oil-spills,False,pillar/news,News
world/2025/jan/29/black-brazilians-moving-to-benin-africa,article,world,World news,2025-01-29T10:00:44Z,‘Africa is where I’m from’: why some Black Brazilians are moving to Benin,https://www.theguardian.com/world/2025/jan/29/black-brazilians-moving-to-benin-africa,https://content.guardianapis.com/world/2025/jan/29/black-brazilians-moving-to-benin-africa,False,pillar/news,News
global-development/2025/mar/04/the-chimamanda-effect-nigerians-delight-at-first-novel-in-a-decade-from-their-beloved-daughter,article,global-development,Global development,2025-03-04T06:00:37Z,The Chimamanda effect: Nigerians’ delight at first novel in a decade from their beloved daughter,https://www.theguardian.com/global-development/2025/mar/04/the-chimamanda-effect-nigerians-delight-at-first-novel-in-a-decade-from-their-beloved-daughter,https://content.guardianapis.com/global-development/2025/mar/04/the-chimamanda-effect-nigerians-delight-at-first-novel-in-a-decade-from-their-beloved-daughter,False,pillar/news,News
books/2025/mar/02/dream-count-by-chimamanda-ngozi-adichie-review-candid-conversations-with-friends,article,books,Books,2025-03-02T07:00:02Z,Dream Count by Chimamanda Ngozi Adichie review – candid conversations with friends,https://www.theguardian.com/books/2025/mar/02/dream-count-by-chimamanda-ngozi-adichie-review-candid-conversations-with-friends,https://content.guardianapis.com/books/2025/mar/02/dream-count-by-chimamanda-ngozi-adichie-review-candid-conversations-with-friends,False,pillar/arts,Arts
commentisfree/2025/feb/15/europe-africa-slavery-reparations-donald-trump,article,commentisfree,Opinion,2025-02-15T07:00:31Z,"Thanks to Trump, it is now in Europe’s self-interest to compensate Africa for slavery | Liliane Umubyeyi",https://www.theguardian.com/commentisfree/2025/feb/15/europe-africa-slavery-reparations-donald-trump,https://content.guardianapis.com/commentisfree/2025/feb/15/europe-africa-slavery-reparations-donald-trump,False,pillar/opinion,Opinion
science/2025/mar/20/david-landon-obituary,article,science,Science,2025-03-20T19:45:41Z,David Landon obituary,https://www.theguardian.com/science/2025/mar/20/david-landon-obituary,https://content.guardianapis.com/science/2025/mar/20/david-landon-obituary,False,pillar/news,News
